Run,X25519_ms,MLKEM_ms,Hybrid_ms,KeySchedule_ms,Handshake_ms,X25519_Public,MLKEM_Public,Ciphertext,Hybrid_Public,Hybrid_Secret
1,0.22844300019642105,0.19099499968
43352,0.0028569993446581066,0.5875879996892763,1.263907999600633,32,1184,1088,1216,64
2,0.17655100009505986,0.25904399990395177,0.0017830002434493508,0.3064790003008966,0.7994620000317809,32,1184,1088,1216,64
3,0.20971399953850778,0.183710999408504,0.0020049992599524558,0.6671380006082472,1.2718529997073347,32,1184,1088,1216,64
4,0.284916000055091,0.20659100027842214,0.002677999873412773,0.8857209995767334,1.5993459992387216,32,1184,1088,1216,64
5,0.16995900023175636,0.13770099940302316,0.001696000254014507,1.0950229998343275,1.523789999737346,32,1184,1088,1216,64
6,0.2822189999278635,0.20615099992937758,0.0030979999792180024,0.5322470001374313,1.1087170000791957,32,1184,1088,1216,64
7,0.16652900012559257,0.1278059999094694,0.0028899999051645864,0.4034530002172687,0.8354450001206715,32,1184,1088,1216,64
8,0.18049899972538697,0.12643700029002503,0.0017419997675460763,0.5227310002737795,0.9758529995451681,32,1184,1088,1216,64
9,0.2751620004346478,0.0959129993134411,0.002812999809975736,0.6251410004551872,2.005795000513899,32,1184,1088,1216,64
10,0.14946400006010663,0.07432799975504167,0.0008770002750679851,0.20567100000334904,0.4723249994640355,32,1184,1088,1216,64
11,0.11028400058421539,0.10606300020299386,0.000803999682830181,0.643128999399778,1.1403489997974248,32,1184,1088,1216,64
12,0.13081599990982795,0.05804700049338862,0.000734999957785476,0.18283099961990956,0.40578999960416695,32,1184,1088,1216,64
13,0.14426300003833603,0.07913100034784293,0.0009770001270226203,1.6770709999036626,1.965227000255254,32,1184,1088,1216,64
14,0.18268899930262705,0.058908999562845565,0.000809999619377777,0.18836999970517354,0.4683150000346359,32,1184,1088,1216,64
15,0.14102600016485667,0.07482800083380425,0.0007270000423886813,0.5748960002165404,0.9362900000269292,32,1184,1088,1216,64
16,0.11091799933637958,0.12422299914760515,0.0020930001483066007,2.7577889995882288,3.356228000484407,32,1184,1088,1216,64
17,0.08349800009455066,0.06166200000734534,0.0015229998098220676,0.273485000434448,0.5434109989437275,32,1184,1088,1216,64
18,0.09239000064553693,0.07310900036827661,0.0007689995982218534,0.2918409991252702,0.6073900003684685,32,1184,1088,1216,64
19,0.09536399920762051,0.05996899926685728,0.0008569986675865948,0.34227899959660135,0.639990999843576,32,1184,1088,1216,64
20,0.14354999996157858,0.1672440000675124,0.0022960000478633447,1.1362320000216641,1.6797920000044542,32,1184,1088,1216,64
21,0.21530899994104402,0.11343899996063556,0.0031329999501394923,0.6477429999449669,1.6063829999666268,32,1184,1088,1216,64
22,0.1333559999920908,0.11049800002638221,0.002349000055801298,0.47535599992443167,0.9948519999625205,32,1184,1088,1216,64
23,0.132641000050171,0.09795999994821614,0.01573899999129935,0.7704060000151003,1.2411599999495593,32,1184,1088,1216,64
24,0.1580050000029587,0.16240800005107303,0.0020099998891964788,0.6454910001139069,1.269676000219988,32,1184,1088,1216,64
25,0.09783800010154664,0.07698099989283946,0.0016760000107751694,0.33744600000318314,0.6523869999455201,32,1184,1088,1216,64
26,0.25059700055862777,0.25373700009367894,0.0038280004446278326,2.7159420005773427,3.3416589994885726,32,1184,1088,1216,64
27,0.10003100032918155,0.07750900022074347,0.001794999661797192,0.17333999949187273,0.4036070004076464,32,1184,1088,1216,64
28,0.10246100009680958,0.08105500000965549,0.0010229996405541897,0.18483599978935672,0.4238970004735165,32,1184,1088,1216,64
29,0.15620100020896643,0.157886000124563,0.002175000190618448,0.5568500000663335,1.0155149993806845,32,1184,1088,1216,64
30,0.2465070001562708,0.2582299994173809,0.004614999852492474,1.2052520005454426,1.9708439995156368,32,1184,1088,1216,64
31,0.1294389994654921,0.13907099946663948,0.002720000338740647,0.33615599932090845,0.7053799999994226,32,1184,1088,1216,64
32,0.12635899929591687,0.1328469998043147,0.001600000359758269,0.22642499970970675,0.5618209997919621,32,1184,1088,1216,64
33,0.12587600031110924,0.13372300054470543,0.0017299998944508843,0.22406000061891973,0.5723499998566695,32,1184,1088,1216,64
34,0.23524500011262717,0.7081160001689568,0.014201000340108294,7.1377559997927165,11.866490000102203,32,1184,1088,1216,64
35,0.36275699949328555,0.22134200025902828,0.004530999831331428,0.9727859996928601,1.9751390000237734,32,1184,1088,1216,64
36,0.1471859995945124,0.2790449998428812,0.0029650000215042382,1.5651240000806865,2.8147530001660925,32,1184,1088,1216,64
37,0.3159990001222468,0.17347999983030604,0.004713999260275159,0.48040999990917044,2.3947119998410926,32,1184,1088,1216,64
39,0.13394500001595588,0.1562790000093628,0.0020240000253579638,0.7740099999864469,1.203846999999314,32,1184,1088,1216,64
40,0.14078700041864067,0.16307999976561405,0.003879999894706998,1.2004179998257314,1.9221689999540104,32,1184,1088,1216,64
41,0.09077799950318877,0.13864100037608296,0.00272899978881469,0.8018319995244383,1.3046639996900922,32,1184,1088,1216,64
42,0.09547300032863859,0.12350999986665556,0.0008540000635548495,0.2540080004109768,0.5803819994980586,32,1184,1088,1216,64
43,0.10215600013907533,0.1162389999080915,0.001088000317395199,0.4401910000524367,0.7796139998390572,32,1184,1088,1216,64
44,0.139373999985537,0.1488309999899684,0.002921000003652807,0.598294000013766,1.0718800000120154,32,1184,1088,1216,64
45,0.1346490000173617,0.27861899999948037,0.004434999993918609,1.2353150000024016,2.256651000010379,32,1184,1088,1216,64
46,0.14015400000744194,0.17715700002440826,0.0036949999753232987,3.0707120000101895,5.873373000014226,32,1184,1088,1216,64
47,0.0821520000044984,0.11941399998249835,0.0007079999591041997,0.13960799998358198,0.37454699997852003,32,1184,1088,1216,64
48,0.08996700000807323,0.14319299998533097,0.0008050000133152935,0.14202400001295246,0.4129099999659047,32,1184,1088,1216,64
49,0.08680399997729182,0.1346289999446526,0.0010079999697154562,0.42631799999526265,0.7645500000421634,32,1184,1088,1216,64
50,0.10185999997247563,0.14497900002652386,0.0012529999935395608,2.462522000030276,2.845009999987269,32,1184,1088,1216,64
51,0.19854999999324718,0.1640510000129325,0.004482000008465548,1.1271170000100028,2.3594740000021375,32,1184,1088,1216,64
52,0.09810099999185695,0.18959000004770132,0.002734000020154781,0.842470999998568,1.5271970000299007,32,1184,1088,1216,64
53,0.09232899998323774,0.13604200000827404,0.003081000045312976,0.3318049999734285,1.7471639999939725,32,1184,1088,1216,64
54,0.15152899999293368,0.17860299999483686,0.0011430000199652568,0.30459800001381154,0.7076360000155546,32,1184,1088,1216,64
55,0.12094800001705153,0.5856340000036653,0.004298000021663029,1.381460999994033,3.607052000006661,32,1184,1088,1216,64
56,0.14646999989054166,0.15349799991781765,0.0021099999685247894,0.6614660001105221,1.0322900000119262,32,1184,1088,1216,64
57,0.10375600004408625,0.15387500002361776,0.0023009999949863413,0.9575029998813989,1.277602000072875,32,1184,1088,1216,64
58,0.20940000013069948,0.6231180000213499,0.0031900001431495184,1.0915709999608225,2.3375879998184246,32,1184,1088,1216,64
59,0.09327399993708241,0.1301660001900018,0.0008580000212532468,0.16199500009861367,0.43017000007239403,32,1184,1088,1216,64
